Provinsi,Tahun,Persentase_Kemiskinan
KEP. BANGKA BELITUNG,2025,5.0
KEP. RIAU,2015,6.24
KEP. RIAU,2016,5.98
KEP. RIAU,2017,6.06
KEP. RIAU,2018,6.2
KEP. RIAU,2019,5.9
KEP. RIAU,2020,5.92
KEP. RIAU,2021,6.12
KEP. RIAU,2022,6.24
KEP. RIAU,2023,5.69
KEP. RIAU,2024,5.37
KEP. RIAU,2025,4.44
LAMPUNG,2015,14.35
LAMPUNG,2016,14.29
LAMPUNG,2017,13.69
LAMPUNG,2018,13.14
LAMPUNG,2019,12.62
LAMPUNG,2020,12.34
LAMPUNG,2021,12.62
LAMPUNG,2022,11.57
LAMPUNG,2023,11.11
LAMPUNG,2024,10.69
LAMPUNG,2025,10.0
MALUKU,2015,19.51
MALUKU,2016,19.18
MALUKU,2017,18.45
MALUKU,2018,18.12
MALUKU,2019,17.69
MALUKU,2020,17.44
MALUKU,2021,17.87
MALUKU,2022,15.97
MALUKU,2023,16.42
MALUKU,2024,16.05
MALUKU,2025,15.38
MALUKU UTARA,2015,6.84
MALUKU UTARA,2016,6.33
MALUKU UTARA,2017,6.35
MALUKU UTARA,2018,6.64
MALUKU UTARA,2019,6.77
MALUKU UTARA,2020,6.78
MALUKU UTARA,2021,6.89
MALUKU UTARA,2022,6.23
MALUKU UTARA,2023,6.46
MALUKU UTARA,2024,6.32
MALUKU UTARA,2025,5.81
NUSA TENGGARA BARAT,2015,17.1
NUSA TENGGARA BARAT,2016,16.48
NUSA TENGGARA BARAT,2017,16.07
NUSA TENGGARA BARAT,2018,14.75
NUSA TENGGARA BARAT,2019,14.56
NUSA TENGGARA BARAT,2020,13.97
NUSA TENGGARA BARAT,2021,14.14
NUSA TENGGARA BARAT,2022,13.68
NUSA TENGGARA BARAT,2023,13.85
NUSA TENGGARA BARAT,2024,12.91
NUSA TENGGARA BARAT,2025,11.78
NUSA TENGGARA TIMUR,2015,22.61
NUSA TENGGARA TIMUR,2016,22.19
NUSA TENGGARA TIMUR,2017,21.85
NUSA TENGGARA TIMUR,2018,21.35
NUSA TENGGARA TIMUR,2019,21.09
NUSA TENGGARA TIMUR,2020,20.9
NUSA TENGGARA TIMUR,2021,20.99
NUSA TENGGARA TIMUR,2022,20.05
NUSA TENGGARA TIMUR,2023,19.96
NUSA TENGGARA TIMUR,2024,19.48
NUSA TENGGARA TIMUR,2025,18.6
PAPUA,2015,28.17
PAPUA,2016,28.54
PAPUA,2017,27.62
PAPUA,2018,27.74
PAPUA,2019,27.53
PAPUA,2020,26.64
PAPUA,2021,26.86
PAPUA,2022,26.56
PAPUA,2023,26.03
PAPUA BARAT,2015,25.82
PAPUA BARAT,2016,25.43
PAPUA BARAT,2017,25.1
PAPUA BARAT,2018,23.01
PAPUA BARAT,2019,22.17
PAPUA BARAT,2020,21.37
PAPUA BARAT,2021,21.84
PAPUA BARAT,2022,21.33
PAPUA BARAT,2023,20.49
PAPUA BARAT,2024,21.66
PAPUA BARAT,2025,20.66
RIAU,2015,8.42
RIAU,2016,7.98
RIAU,2017,7.78
RIAU,2018,7.39
RIAU,2019,7.08
RIAU,2020,6.82
RIAU,2021,7.12
RIAU,2022,6.78
RIAU,2023,6.68
RIAU,2024,6.67
RIAU,2025,6.16
SULAWESI BARAT,2015,12.4
SULAWESI BARAT,2016,11.74
SULAWESI BARAT,2017,11.3
SULAWESI BARAT,2018,11.25
SULAWESI BARAT,2019,11.02
SULAWESI BARAT,2020,10.87
SULAWESI BARAT,2021,11.29
SULAWESI BARAT,2022,11.75
