Provinsi,Tahun,RLS
KEP. RIAU,2015,9.85
KEP. RIAU,2016,9.9
KEP. RIAU,2017,10.0
KEP. RIAU,2018,10.01
KEP. RIAU,2019,10.13
KEP. RIAU,2020,10.22
KEP. RIAU,2021,10.38
KEP. RIAU,2022,10.46
KEP. RIAU,2023,10.52
KEP. RIAU,2024,10.65
KEP. RIAU,2025,10.78
LAMPUNG,2015,8.01
LAMPUNG,2016,8.1
LAMPUNG,2017,8.19
LAMPUNG,2018,8.29
LAMPUNG,2019,8.36
LAMPUNG,2020,8.51
LAMPUNG,2021,8.56
LAMPUNG,2022,8.61
LAMPUNG,2023,8.72
LAMPUNG,2024,8.8
LAMPUNG,2025,9.0
MALUKU,2015,9.54
MALUKU,2016,9.69
MALUKU,2017,9.74
MALUKU,2018,9.78
MALUKU,2019,10.03
MALUKU,2020,10.2
MALUKU,2021,10.25
MALUKU,2022,10.37
MALUKU,2023,10.38
MALUKU,2024,10.44
MALUKU,2025,10.63
MALUKU UTARA,2015,8.81
MALUKU UTARA,2016,8.96
MALUKU UTARA,2017,9.0
MALUKU UTARA,2018,9.07
MALUKU UTARA,2019,9.32
MALUKU UTARA,2020,9.42
MALUKU UTARA,2021,9.51
MALUKU UTARA,2022,9.6
MALUKU UTARA,2023,9.61
MALUKU UTARA,2024,9.7
MALUKU UTARA,2025,9.78
NUSA TENGGARA BARAT,2015,7.51
NUSA TENGGARA BARAT,2016,7.57
NUSA TENGGARA BARAT,2017,7.64
NUSA TENGGARA BARAT,2018,7.69
NUSA TENGGARA BARAT,2019,7.98
NUSA TENGGARA BARAT,2020,8.08
NUSA TENGGARA BARAT,2021,8.13
NUSA TENGGARA BARAT,2022,8.31
NUSA TENGGARA BARAT,2023,8.39
NUSA TENGGARA BARAT,2024,8.5
NUSA TENGGARA BARAT,2025,8.87
NUSA TENGGARA TIMUR,2015,7.4
NUSA TENGGARA TIMUR,2016,7.54
NUSA TENGGARA TIMUR,2017,7.62
NUSA TENGGARA TIMUR,2018,7.7
NUSA TENGGARA TIMUR,2019,7.98
NUSA TENGGARA TIMUR,2020,8.09
NUSA TENGGARA TIMUR,2021,8.2
NUSA TENGGARA TIMUR,2022,8.25
NUSA TENGGARA TIMUR,2023,8.31
NUSA TENGGARA TIMUR,2024,8.48
NUSA TENGGARA TIMUR,2025,8.88
PAPUA,2015,6.27
PAPUA,2016,6.48
PAPUA,2017,6.58
PAPUA,2018,6.66
PAPUA,2019,6.85
PAPUA,2020,6.96
PAPUA,2021,7.05
PAPUA,2022,7.31
PAPUA,2023,7.34
PAPUA BARAT,2015,9.47
PAPUA BARAT,2016,9.57
PAPUA BARAT,2017,9.67
PAPUA BARAT,2018,9.73
PAPUA BARAT,2019,9.92
PAPUA BARAT,2020,10.0
PAPUA BARAT,2021,10.03
PAPUA BARAT,2022,10.14
PAPUA BARAT,2023,10.14
PAPUA BARAT,2024,9.87
PAPUA BARAT,2025,9.9
RIAU,2015,8.89
RIAU,2016,8.97
RIAU,2017,9.06
RIAU,2018,9.11
RIAU,2019,9.35
RIAU,2020,9.47
RIAU,2021,9.52
RIAU,2022,9.54
RIAU,2023,9.6
RIAU,2024,9.69
RIAU,2025,9.8
SULAWESI BARAT,2015,7.49
SULAWESI BARAT,2016,7.76
SULAWESI BARAT,2017,7.84
SULAWESI BARAT,2018,7.94
SULAWESI BARAT,2019,8.22
SULAWESI BARAT,2020,8.33
SULAWESI BARAT,2021,8.39
