Provinsi,Tahun,TPT_Agustus
KEP. RIAU,2015,6.2
KEP. RIAU,2016,7.69
KEP. RIAU,2017,7.16
KEP. RIAU,2018,8.04
KEP. RIAU,2019,7.5
KEP. RIAU,2020,10.34
KEP. RIAU,2021,9.91
KEP. RIAU,2022,8.23
KEP. RIAU,2023,6.8
KEP. RIAU,2024,6.39
KEP. RIAU,2025,6.45
LAMPUNG,2015,5.14
LAMPUNG,2016,4.62
LAMPUNG,2017,4.33
LAMPUNG,2018,4.04
LAMPUNG,2019,4.03
LAMPUNG,2020,4.67
LAMPUNG,2021,4.69
LAMPUNG,2022,4.52
LAMPUNG,2023,4.23
LAMPUNG,2024,4.19
LAMPUNG,2025,4.21
MALUKU,2015,9.93
MALUKU,2016,7.05
MALUKU,2017,9.29
MALUKU,2018,6.95
MALUKU,2019,6.69
MALUKU,2020,7.57
MALUKU,2021,6.93
MALUKU,2022,6.88
MALUKU,2023,6.31
MALUKU,2024,6.11
MALUKU,2025,6.27
MALUKU UTARA,2015,6.05
MALUKU UTARA,2016,4.01
MALUKU UTARA,2017,5.33
MALUKU UTARA,2018,4.63
MALUKU UTARA,2019,4.81
MALUKU UTARA,2020,5.15
MALUKU UTARA,2021,4.71
MALUKU UTARA,2022,3.98
MALUKU UTARA,2023,4.31
MALUKU UTARA,2024,4.03
MALUKU UTARA,2025,4.55
NUSA TENGGARA BARAT,2015,5.69
NUSA TENGGARA BARAT,2016,3.94
NUSA TENGGARA BARAT,2017,3.32
NUSA TENGGARA BARAT,2018,3.58
NUSA TENGGARA BARAT,2019,3.28
NUSA TENGGARA BARAT,2020,4.22
NUSA TENGGARA BARAT,2021,3.01
NUSA TENGGARA BARAT,2022,2.89
NUSA TENGGARA BARAT,2023,2.8
NUSA TENGGARA BARAT,2024,2.73
NUSA TENGGARA BARAT,2025,3.06
NUSA TENGGARA TIMUR,2015,3.83
NUSA TENGGARA TIMUR,2016,3.25
NUSA TENGGARA TIMUR,2017,3.27
NUSA TENGGARA TIMUR,2018,2.85
NUSA TENGGARA TIMUR,2019,3.14
NUSA TENGGARA TIMUR,2020,4.28
NUSA TENGGARA TIMUR,2021,3.77
NUSA TENGGARA TIMUR,2022,3.54
NUSA TENGGARA TIMUR,2023,3.14
NUSA TENGGARA TIMUR,2024,3.02
NUSA TENGGARA TIMUR,2025,3.31
PAPUA,2015,3.99
PAPUA,2016,3.35
PAPUA,2017,3.62
PAPUA,2018,3.0
PAPUA,2019,3.51
PAPUA,2020,4.28
PAPUA,2021,3.33
PAPUA,2022,2.83
PAPUA,2023,2.67
PAPUA BARAT,2015,8.08
PAPUA BARAT,2016,7.46
PAPUA BARAT,2017,6.49
PAPUA BARAT,2018,6.45
PAPUA BARAT,2019,6.43
PAPUA BARAT,2020,6.8
PAPUA BARAT,2021,5.84
PAPUA BARAT,2022,5.37
PAPUA BARAT,2023,5.38
PAPUA BARAT,2024,4.13
