Provinsi,Tahun,Rata_Rata_Lama_Sekolah,Tingkat_Pengangguran_Terbuka,Persentase_Penduduk_Miskin
KALIMANTAN SELATAN,2017,8.37,4.77,4.73
KALIMANTAN SELATAN,2018,8.45,4.35,4.54
KALIMANTAN SELATAN,2019,8.59,4.18,4.55
KALIMANTAN SELATAN,2020,8.69,4.74,4.38
KALIMANTAN SELATAN,2021,8.74,4.95,4.83
KALIMANTAN SELATAN,2022,8.89,4.74,4.49
KALIMANTAN SELATAN,2023,8.95,4.31,4.29
KALIMANTAN SELATAN,2024,9.02,4.2,4.11
KALIMANTAN SELATAN,2025,9.17,4.16,3.84
KALIMANTAN TENGAH,2015,8.4,4.54,5.94
KALIMANTAN TENGAH,2016,8.52,4.82,5.66
KALIMANTAN TENGAH,2017,8.59,4.23,5.37
KALIMANTAN TENGAH,2018,8.66,3.91,5.17
KALIMANTAN TENGAH,2019,8.83,4.04,4.98
KALIMANTAN TENGAH,2020,8.95,4.58,4.82
KALIMANTAN TENGAH,2021,9.03,4.53,5.16
KALIMANTAN TENGAH,2022,9.03,4.26,5.28
KALIMANTAN TENGAH,2023,9.07,4.1,5.11
KALIMANTAN TENGAH,2024,9.17,4.01,5.17
KALIMANTAN TENGAH,2025,9.36,3.97,5.19
KALIMANTAN TIMUR,2015,9.52,7.5,6.23
KALIMANTAN TIMUR,2016,9.55,7.95,6.11
KALIMANTAN TIMUR,2017,9.62,6.91,6.19
KALIMANTAN TIMUR,2018,9.63,6.41,6.03
KALIMANTAN TIMUR,2019,9.88,5.94,5.94
KALIMANTAN TIMUR,2020,9.99,6.87,6.1
KALIMANTAN TIMUR,2021,10.09,6.83,6.54
KALIMANTAN TIMUR,2022,10.13,5.71,6.31
KALIMANTAN TIMUR,2023,10.17,5.31,6.11
KALIMANTAN TIMUR,2024,10.22,5.14,5.78
KALIMANTAN TIMUR,2025,10.3,5.18,5.17
KALIMANTAN UTARA,2015,8.67,5.68,6.24
KALIMANTAN UTARA,2016,9.01,5.23,6.23
KALIMANTAN UTARA,2017,9.1,5.54,7.22
KALIMANTAN UTARA,2018,9.18,5.11,7.09
KALIMANTAN UTARA,2019,9.24,4.49,6.63
KALIMANTAN UTARA,2020,9.3,4.97,6.8
KALIMANTAN UTARA,2021,9.4,4.58,7.36
KALIMANTAN UTARA,2022,9.45,4.33,6.77
KALIMANTAN UTARA,2023,9.53,4.01,6.45
KALIMANTAN UTARA,2024,9.58,3.9,6.32
KALIMANTAN UTARA,2025,9.69,3.85,5.54
KEP. BANGKA BELITUNG,2015,7.83,6.29,5.4
KEP. BANGKA BELITUNG,2016,8.04,2.6,5.22
KEP. BANGKA BELITUNG,2017,8.13,3.78,5.2
KEP. BANGKA BELITUNG,2018,8.24,3.61,5.25
KEP. BANGKA BELITUNG,2019,8.35,3.58,4.62
KEP. BANGKA BELITUNG,2020,8.49,5.25,4.53
KEP. BANGKA BELITUNG,2021,8.54,5.03,4.9
KEP. BANGKA BELITUNG,2022,8.57,4.77,4.45
KEP. BANGKA BELITUNG,2023,8.66,4.56,4.52
KEP. BANGKA BELITUNG,2024,8.78,4.63,4.55
KEP. BANGKA BELITUNG,2025,9.09,4.45,5.0
KEP. RIAU,2015,9.85,6.2,6.24
KEP. RIAU,2016,9.9,7.69,5.98
KEP. RIAU,2017,10.0,7.16,6.06
KEP. RIAU,2018,10.01,8.04,6.2
KEP. RIAU,2019,10.13,7.5,5.9
KEP. RIAU,2020,10.22,10.34,5.92
KEP. RIAU,2021,10.38,9.91,6.12
KEP. RIAU,2022,10.46,8.23,6.24
KEP. RIAU,2023,10.52,6.8,5.69
KEP. RIAU,2024,10.65,6.39,5.37
KEP. RIAU,2025,10.78,6.45,4.44
LAMPUNG,2015,8.01,5.14,14.35
LAMPUNG,2016,8.1,4.62,14.29
LAMPUNG,2017,8.19,4.33,13.69
LAMPUNG,2018,8.29,4.04,13.14
LAMPUNG,2019,8.36,4.03,12.62
LAMPUNG,2020,8.51,4.67,12.34
LAMPUNG,2021,8.56,4.69,12.62
LAMPUNG,2022,8.61,4.52,11.57
LAMPUNG,2023,8.72,4.23,11.11
LAMPUNG,2024,8.8,4.19,10.69
LAMPUNG,2025,9.0,4.21,10.0
MALUKU,2015,9.54,9.93,19.51
MALUKU,2016,9.69,7.05,19.18
MALUKU,2017,9.74,9.29,18.45
MALUKU,2018,9.78,6.95,18.12
MALUKU,2019,10.03,6.69,17.69
MALUKU,2020,10.2,7.57,17.44
MALUKU,2021,10.25,6.93,17.87
MALUKU,2022,10.37,6.88,15.97
MALUKU,2023,10.38,6.31,16.42
MALUKU,2024,10.44,6.11,16.05
MALUKU,2025,10.63,6.27,15.38
MALUKU UTARA,2015,8.81,6.05,6.84
MALUKU UTARA,2016,8.96,4.01,6.33
MALUKU UTARA,2017,9.0,5.33,6.35
MALUKU UTARA,2018,9.07,4.63,6.64
MALUKU UTARA,2019,9.32,4.81,6.77
